code;date;promotion;formation;specialite;genre;age  ;nationalite;bac;csp;reponse;situation_mars;recherche_emploi_depuis;refus_plusieurs_emplois;type_etude;type_etude_autre;secteur_cifre;secteur_cifre_autre;intitule_formation;etablissement_formation;situation_represente;situation_represente_autre;egalement_recherche_emploi;premier_emploi_depuis_diplome;situation;situation_inactive_depuis;num_emploi;temps_pour_premier_emploi;moyen_trouver_emploi;moyen_trouver_emploi_autre;employeur;employeur_autre;secteur_activite_organisme;type_emploi;type_emploi_autre;type_volontariat;type_volontariat_autre;statut_emploi;condition_depart_entrprise;condition_depart_entreprise_autre;objectif_premier_emploi;objectif_premier_emploi_autre;intitule_emploi;responsabilite_hierarchique;responsabilite_projet;responsabilite_equipe;responsabilite_budget;mission_rse;mission_rse_environnement;mission_rse_egalite;mission_rse_handicap;mission_rse_ouverture;mission_rse_ethique;mission_rse_autre;moyen_trouver_emploi_2;moyen_trouver_emploi_autre_2;critere_principal;critere_principal_autre;duree_trouver_emploi;employeur_2;employeur_2_autre;employeur_2_type;taille_organisme_2;secteur_activite_organisme_2;type_emploi_2;statut_emploi_autre_2;createur_entreprise;activite_principale;type_volontariat_2;type_volontariat_autre_2;statut_emploi_2;fonction_emploi_2;fonction_emploi_autre_2;temps_travail;heure_par_semaine;teletravail;moyenne_jours_teletravail;departement;pays;ville;emploi_represente_2;emploi_represente_autre_2;recherche_emploi;raison_recherche_emploi
22JDI334HO;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Mécanique);Mécanique;M;22;FRANCAIS(E);Bac S;52;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Consultant Delivery PLM;Non;Oui;Non;Non;Non;;;;;;;Démarché par un chasseur de têtes;;Le montant du salaire proposé;;2;Une entreprise privée;;ESN (Entreprise de Services du Numérique – anciennement SSII);De 500 à 1 999 salariés;Industries des technologies de l’information, Entreprises de Services Numériques;CDI;;;;;;Cadre;Informatique industrielle et technique;;Temps plein;;Oui;2;69;;Saint-Priest;Un emploi satisfaisant mais lié à la conjoncture;;Non;
22BDI400IC;mars-23;2022;Diplôme d'Ingénieur Polytech Informatique [apprentissage] 5A;Informatique apprentissage;M;23;FRANCAIS(E);Bac technologique;54;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Auto entrepreneur dans la conception et développement d'applications;Non;Oui;Non;Oui;Non;;;;;;;J'ai créé / repris une entreprise;;L'adéquation entre projet professionnel et emploi;;1;Vous-même;;Aucune des trois propositions;Moins de 10 salariés;Activités informatiques et service d'information;Profession libérale, indépendant, chef d'entreprise;;Oui;Oui (l'entreprise est actuellement en activité);;;Non cadre;Autre;Développeur;Temps plein;;Non;;13;;Saint-Victoret;Le véritable emploi que vous recherchiez;;Non;
22GDI378AG;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Maths appliquées);Maths appliquées;M;24;GEORGIEN(NE);Bac S;56;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Data Analyst;Non;Oui;Oui;Non;Non;;;;;;;Site Internet spécialisé dans l'emploi (Apec...);;Le lieu géographique (hors pays étranger);;4;Une entreprise privée;;Aucune des trois propositions;De 50 à 99 salariés;Agriculture, sylviculture et pêche;CDI;;;;;;Cadre;Autre;analyse de données;Temps plein;;Oui;2;69;;St Didier Au Mont D'Or;Un emploi satisfaisant mais lié à la conjoncture;;Non;
22SDI358UC;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Mécanique);Mécanique;M;22;FRANCAIS(E);Bac S;66;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Doctorant : modélisation de l'endommagement du combustible RNR basée sur l'analyse d'images;Oui;Non;Non;Non;Non;;;;;;;Stage de fin d'études;;L'adéquation entre projet professionnel et emploi;;0;La fonction publique d'Etat;;;De 10 000 à 49 999 salariés;Recherche-Développement scientifique;CDD;;;;;;Non cadre;Recherche-Développement, études scientifiques et techniques;;Temps plein;;Oui;2;13;;St Paul Lez Durance;Un emploi satisfaisant mais lié à la conjoncture;;Non;
22VDI246LE;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Génie Industiel);Génie industriel;M;23;FRANCAIS(E);Bac technologique;52;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Développeur Associé;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;Oui;;Démarché par un chasseur de têtes;;L'adéquation entre projet professionnel et emploi;;0;Une entreprise privée;;ESN (Entreprise de Services du Numérique – anciennement SSII);50 000 salariés et plus;Industrie automobile, aéronautique, navale, ferroviaire;CDI;;;;;;Cadre;Informatique industrielle et technique;;Temps plein;;Oui;4;31;;Toulouse;Un emploi satisfaisant mais lié à la conjoncture;;Oui;Trouver un emploi correspondant mieux à vos compétences
22TDI384AT;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Maths appliquées);Maths appliquées;M;22;FRANCAIS(E);Bac S;74;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Data Scientist;Non;Non;Non;Non;Non;;;;;;;Candidature spontanée (hors candidature via un site internet);;L'adéquation entre projet professionnel et emploi;;2;Une entreprise privée;;Aucune des trois propositions;Moins de 10 salariés;Autres activités scientifiques et techniques;CDI;;;;;;Cadre;Etudes - conseil et expertise;;Temps plein;;Oui;2;31;;Toulouse;Le véritable emploi que vous recherchiez;;Non;
22ODI391ER;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Maths appliquées);Maths appliquées;M;23;FRANCAIS(E);Bac S;61;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Ingénieur développement logiciel;Non;Non;Non;Non;Non;;;;;;;Démarché par un chasseur de têtes;;L'adéquation entre projet professionnel et emploi;;1;Une entreprise privée;;Aucune des trois propositions;De 10 à 19 salariés;Industries des technologies de l’information, Entreprises de Services Numériques;CDI;;;;;;Cadre;Informatique industrielle et technique;;Temps plein;;Oui;2;26;;Valence;Le véritable emploi que vous recherchiez;;Non;
22LDI335BO;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Mécanique);Mécanique;M;22;FRANCAIS(E);Bac S;34;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Ingénieur d'études;Non;Oui;Non;Non;Non;;;;;;;Site internet spécialisé dans l'emploi (Apec...);;L'adéquation entre projet professionnel et emploi;;2;Une entreprise privée;;Société de conseil / d'ingénierie ou Bureau d'études indépendant;De 10 à 19 salariés;Industrie automobile, aéronautique, navale, ferroviaire;CDI;;;;;;Cadre;Etudes - conseil et expertise;;Temps plein;;Oui;2;69;;Vaulx-En-Velin;Un emploi satisfaisant mais lié à la conjoncture;;Oui;Etre mieux rémunéré(e)
22JDI390EN;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Maths appliquées);Maths appliquées;M;21;FRANCAIS(E);Bac S;38;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Chargé d'études en économie du trafic;Non;Oui;Non;Non;Non;;;;;;;Réseaux sociaux professionnels (Viadéo, Linkedin);;L'adéquation entre projet professionnel et emploi;;2;Une entreprise privée;;Aucune des trois propositions;De 500 à 1 999 salariés;Transports (services);CDI;;;;;;Cadre;Autre;direction financière;Temps plein;;Non;;84;;Vedène;Le véritable emploi que vous recherchiez;;Non;
22EDI227AU;mars-23;2022;Diplôme d'Ingénieur Polytech 5ème année (Génie Biomédical);Génie Biomédical;F;23;FRANCAIS(E);Bac S;52;Oui;En activité professionnelle;;;;;;;;;;;;;;;1er emploi depuis votre sortie de l'école*;;;;;;;;;;;;;;;;Ingénieur biomédical;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;;Site Internet spécialisé dans l'emploi (Apec...);;L'adéquation entre projet professionnel et emploi;;3;Une entreprise privée;;Aucune des trois propositions;De 20 à 49 salariés;Autres secteurs industriels;CDI;;;;;;Cadre;Ingénieur(e) d'affaires, responsables d'affaires;;Temps plein;;Non;;69;;Venissieux;Un emploi satisfaisant mais lié à la conjoncture;;Non;
