centre;composante;iae_etape_code;iae_version_code;iae_etape_lib;id_polytech;redoublant;sexe;age;nationalite;bac;bac_annee;bac_mention;bac_lieu;titre_access;titre_acces_iea;titre_acces_pays;Boursier ;dernier_etablissement_code;dernier_etablissement_lib;premier_etablissement_code;premier_etablissement_lib;type_dernier_diplome_code;type_dernier_diplome_lib;regime_inscription
POLYTECH;POLYTECH;PL04ME;114;Ingénieur Polytech 4A MEC;2122INGMECA045;N;F;22;FRANCAIS(E);S-STI;2017;Assez bien;Morbihan;LICENCE;Externe;;Oui;0691774D;U_LYON 1;0561718N;Université de Bretagne Sud;040;Licence;initiale
POLYTECH;POLYTECH;MPL021;116;M2 Medical imaging, S&S;2122M2MISSS009;N;M;22;FRANCAIS(E);SVT-MA;2016;Bien;Essonne;; ;; ;0693623N;CPE LYON;0912330N;Université Paris-Saclay;519;Autre diplôme supérieur;initiale
POLYTECH;POLYTECH;PL05IF;114;Ingénieur Polytech 5A IF;2122INGIF035;N;M;21;FRANCAIS(E);S-STI;2017;Très bien;Rhône;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;040;Licence;initiale
POLYTECH;POLYTECH;PL05IF;114;Ingénieur Polytech 5A IF;2122INGIF036;N;M;21;FRANCAIS(E);STI2D_SIN;2017;Bien;Rhône;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;010;BTS;initiale
POLYTECH;POLYTECH;PL03MA;114;Ingénieur Polytech 3A MAT;2122INGMAT030;N;M;20;FRANCAIS(E);S-STI;2019;Bien;Isère;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;011;DUT;initiale
POLYTECH;POLYTECH;PL05MM;114;Ingénieur Polytech 5A MAP;2122INGMAM028;N;F;23;FRANCAIS(E);SVT-MA;2016;Bien;Drôme;; ;; ;0691774D;U_LYON 1;0720916E;Université du Mans;040;Licence;initiale
POLYTECH;POLYTECH;PL5IFA;118;Ingénieur Polytech IF 5A;2122INGIFA022;N;M;23;FRANCAIS(E);SVT-ISN;2016;Sans mention;Jura;; ;; ;0691774D;U_LYON 1;0211237F;Université de Bourgogne;011;DUT;apprentis.
POLYTECH;POLYTECH;PL03ME;114;Ingénieur Polytech 3A ME;2122INGMECA046;O;M;22;FRANCAIS(E);SVT-MA;2017;Bien;Etranger;; ;; ;0691774D;U_LYON 1;0511296G;Université de Reims Champagne Ardenne;011;DUT;initiale
POLYTECH;POLYTECH;PL4IFA;118;Ingénieur Polytech IF 4A;2122INGIFA023;N;M;21;FRANCAIS(E);S-STI;2018;Bien;Ain;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;011;DUT;apprentis.
POLYTECH;POLYTECH;MPL021;116;M2 Medical imaging, S&S;2122M2MISSS010;N;M;23;MAROCAIN(E);0031-étran;2015;;Etranger;; ;; ;;;0691774D;Université Lyon 1;503;Diplôme d'établissement étranger supérieur;initiale
POLYTECH;POLYTECH;PL04MA;114;Ingénieur Polytech 4A MAT;2122INGMAT031;N;M;21;FRANCAIS(E);S-STI;2018;Assez bien;Bas Rhin;DUT;Externe;;Oui;0691774D;U_LYON 1;0673021V;Université de Strasbourg;011;DUT;initiale
POLYTECH;POLYTECH;PL04GB;114;Ingénieur Polytech 4A GB;2122INGGBM041;N;F;21;LIBANAIS(E);SVT-MA;2018;Bien;Etranger;; ;; ;0691774D;U_LYON 1;0755890V;Sorbonne Université;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL03IF;114;Ingénieur Polytech 3A IF;2122INGIF037;N;M;19;FRANCAIS(E);SVT-MA;2019;Assez bien;Rhône;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;011;DUT;initiale
POLYTECH;POLYTECH;PL3IFA;118;Ingénieur Polytech IF 3A;2122INGIFA024;N;M;20;ITALIEN(NE);S-STI;2019;Assez bien;Ain;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;001;Baccalaureat (Français);apprentis.
POLYTECH;POLYTECH;PL03MM;114;Ingénieur Polytech 3A MAP;2122INGMAM029;N;M;20;FRANCAIS(E);S-STI;2019;Bien;Rhône;; ;;Oui;0691774D;U_LYON 1;0691774D;Université Lyon 1;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL03MM;114;Ingénieur Polytech 3A MAP;2122INGMAM030;N;M;20;MAROCAIN(E);S-STI;2019;Très bien;Ain;; ;;Oui;0691774D;U_LYON 1;0691774D;Université Lyon 1;012;Attestation délivrée à la suite d'un cursus en CPGE;initiale
POLYTECH;POLYTECH;MPL010;116;M1 MIAGE;2122MIAGEM1006;N;F;23;MAURITANIEN(NE);S-STI;2017;Assez bien;Gironde;; ;; ;0597065J;U_LILLE;0597065J;Université de Lille;072;MASTER;initiale
POLYTECH;POLYTECH;PL03MM;114;Ingénieur Polytech 3A MAP;2122INGMAM031;N;M;22;ESPAGNOL(E);SVT-MA;2017;Bien;Indre Loir;LICENCE;Externe;INDRE ET LOIRE;Oui;0370800U;U_TOURS;0370800U;Université de Tours;040;Licence;initiale
POLYTECH;POLYTECH;PL04GI;118;Ingénieur Polytech 4A GI;2122INGSIR031;N;M;22;MAROCAIN(E);0031-étran;2017;Bien;Etranger;; ;; ;;;0691774D;Université Lyon 1;503;Diplôme d'établissement étranger supérieur;initiale
POLYTECH;POLYTECH;PL05ME;114;Ingénieur Polytech 5A MEC;2122INGMECA047;N;F;22;MAROCAIN(E);0031-étran;2017;Bien;Etranger;; ;; ;0691774D;U_LYON 1;0421095M;Université Jean Monnet (Saint Etienne);013;DEUG;cont pro
POLYTECH;POLYTECH;MPL012;116;M2 Système information GS;2122M2SIGS004;N;M;26;FRANCAIS(E);STG-CGRH;2013;Sans mention;Ain;; ;; ;0691774D;U_LYON 1;0383493R;Université Grenoble Alpes;050;Maîtrise;apprentis.
POLYTECH;POLYTECH;PL05GB;114;Ingénieur Polytech 5A GB;2122INGGBM042;N;F;23;FRANCAIS(E);SVT-SV;2016;Sans mention;Loire;DU;Externe;;Oui;0691774D;U_LYON 1;0421095M;Université Jean Monnet (Saint Etienne);029;Autre diplôme de 1er cycle (DU,.);initiale
POLYTECH;POLYTECH;MPL021;116;M2 Medical imaging, S&S;2122M2MISSS011;N;F;23;FRANCAIS(E);SVT-SV;2016;Sans mention;Loire;; ;;Oui;0691774D;U_LYON 1;0421095M;Université Jean Monnet (Saint Etienne);029;Autre diplôme de 1er cycle (DU,.);initiale
POLYTECH;POLYTECH;PL03IF;114;Ingénieur Polytech 3A IF;2122INGIF038;N;M;21;FRANCAIS(E);SVT-PC;2018;Bien;Bas Rhin;; ;; ;0134009M;AIX MARSEI;0673021V;Université de Strasbourg;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL03GB;114;Ingénieur Polytech 3A GB;2122INGGBM043;N;F;20;FRANCAIS(E);SVT-MA;2019;Très bien;Pas Calais;; ;;Oui;0597065J;U_LILLE;0597065J;Université de Lille;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL03IF;114;Ingénieur Polytech 3A IF;2122INGIF039;N;F;20;FRANCAIS(E);SVT-PC;2019;Bien;Paris;; ;; ;0490970N;U_ANGERS;0490970N;Université d'Angers;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL05ME;114;Ingénieur Polytech 5A MEC;2122INGMECA048;N;M;21;FRANCAIS(E);S-STI;2016;Bien;Rhône;; ;; ;0691774D;U_LYON 1;0691775E;Université Lyon 2;040;Licence;initiale
POLYTECH;POLYTECH;PL05GB;114;Ingénieur Polytech 5A GB;2122INGGBM044;N;F;22;MAROCAIN(E);0031-étran;2017;Bien;Etranger;; ;; ;0691774D;U_LYON 1;0730858L;Université Savoie Mont Blanc;502;Diplôme d'établissement étranger secondaire;initiale
POLYTECH;POLYTECH;PL03ME;114;Ingénieur Polytech 3A ME;2122INGMECA049;N;M;20;FRANCAIS(E);S-STI;2019;Bien;Etranger;Prepa G.E.;Externe;HERAULT; ;0342321N;U_MONTPELL;0342321N;Université de Montpellier;900;Aucun diplôme supérieur;initiale
POLYTECH;POLYTECH;PL05IF;114;Ingénieur Polytech 5A IF;2122INGIF040;N;M;22;FRANCAIS(E);S-STI;2017;Bien;Bouches Rh;; ;;Oui;0691774D;U_LYON 1;0134009M;Aix-Marseille Université;001;Baccalaureat (Français);initiale
