id_polytech_inter;sexe;filiere;cursus;nationalite;diplome;stage_3a;stage_4a;s9_5a;stage_5a;double_diplome;sejourt_court;cesure;substitution;nb_mois_stage;nb_mois_etude;commentaires;total
2122_INTER_SIR016;M;GI;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_SIR017;F;GI;;FRANCAIS(E);DD UQAC en cours;;;;;10;;;;0;10;;10
2122_INTER_SIR018;M;GI;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_SIR019;M;GI;Cpro;FRANCAIS(E);;;;;;;;;MOOC;0;0;;0
2122_INTER_SIR020;F;GI;Cpro;TUNISIEN(NE);oui;;;;;;;;;0;0;;0
2122_INTER_SIR021;M;GI;FISE;FRANCAIS(E);oui;;;4;;;;;;0;4;;4
2122_INTER_SIR022;M;GI;FISE;FRANCAIS(E);oui;;;5;6;;;;;6;5;;11
2122_INTER_SIR023;M;GI;Cpro;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_SIR024;M;GI;FISE;IVOIRIEN(NE);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_SIR025;M;GI;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_SIR026;M;GI;;FRANCAIS(E);DD UQAC en cours;;;;;10;;;;0;14;;14
2122_INTER_SIR027;M;GI;FISE;LUXEMBOURGEOIS(E);oui;;5;;;;;;;5;0;;5
2122_INTER_SIR028;M;GI;;FRANCAIS(E);;;;5;;;;;;0;5;;5
2122_INTER_SIR029;M;GI;FISE;FRANCAIS(E);oui;;;;;4;;;;0;4;;4
2122_INTER_SIR030;M;GI;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_SIR031;F;GI;Cpro;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_SIR032;M;GI;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_SIR033;F;GI;FISE;MAROCAIN(E);oui;;;;6;0;;;;6;0;;6
2122_INTER_IF001;M;INFO;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF002;M;INFO;FISE;;oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF003;M;INFO;Cpro;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF004;M;INFO;FISE;FRANCAIS(E);oui;;;;5;;;;;5;0;;5
2122_INTER_IF005;M;INFO;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF006;M;INFO;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_IF007;M;INFO;FISE;;oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF008;M;INFO;FISE;FRANCAIS(E);oui;;;;5;;;;;5;0;;5
2122_INTER_IF009;M;INFO;FISE;FRANCAIS(E);oui;;;;;6;;;;0;6;;6
2122_INTER_IF010;M;INFO;Cpro;RUSSE;oui;;;;;;;;;0;4;;4
2122_INTER_IF011;M;INFO;;FRANCAIS(E);;;;;;;;;MOOC;0;0;;0
2122_INTER_IF012;M;INFO;FISE;FRANCAIS(E);oui;;;;5;;;;;5;0;;5
2122_INTER_IF013;M;INFO;;FRANCAIS(E);;;;;;;;;;0;0;;0
2122_INTER_IF014;M;INFO;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF015;M;INFO;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF016;M;INFO;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_IF017;F;INFO;FISE;FRANCAIS(E);oui;;;;6;;;;;6;0;;6
2122_INTER_IF018;M;INFO;;FRANCAIS(E);DD UQAC en cours;;;;;10;;;;0;10;;10
2122_INTER_IF019;M;INFO;FISE;FRANCAIS(E);oui;;;;5;;;;;5;0;;5
